icd_code,disease_name,chapter,synonyms,short_desc
E500,Vitamin A deficiency with conjunctival xerosis,Endocrine/metabolic,,
E512,Wernicke's encephalopathy,Endocrine/metabolic,,
E530,Riboflavin deficiency,Endocrine/metabolic,,
E550,"Rickets, active",Endocrine/metabolic,,
E560,Deficiency of vitamin E,Endocrine/metabolic,,
E610,Copper deficiency,Endocrine/metabolic,,
E630,Essential fatty acid [EFA] deficiency,Endocrine/metabolic,,
E640,Sequelae of protein-calorie malnutrition,Endocrine/metabolic,,
E661,Drug-induced obesity,Endocrine/metabolic,,
E670,Hypervitaminosis A,Endocrine/metabolic,,
E700,Classical phenylketonuria,Endocrine/metabolic,,
E710,Maple-syrup-urine disease,Endocrine/metabolic,,
E723,Disorders of lysine and hydroxylysine metabolism,Endocrine/metabolic,,
E730,Congenital lactase deficiency,Endocrine/metabolic,,
E744,Disorders of pyruvate metabolism and gluconeogenesis,Endocrine/metabolic,,
E753,"Sphingolipidosis, unspecified",Endocrine/metabolic,,
E761,"Mucopolysaccharidosis, type II",Endocrine/metabolic,,
E770,Defects in post-translational modification of lysosomal enzymes,Endocrine/metabolic,,
E781,Pure hyperglyceridemia,Endocrine/metabolic,,
E790,Hyperuricemia without signs of inflammatory arthritis and tophaceous disease,Endocrine/metabolic,,
E800,Hereditary erythropoietic porphyria,Endocrine/metabolic,,
E832,Disorders of zinc metabolism,Endocrine/metabolic,,
F060,Psychotic disorder with hallucinations due to known physiological condition,Mental health,,
F070,Personality change due to known physiological condition,Mental health,,
F200,Paranoid schizophrenia,Mental health,,
F250,"Schizoaffective disorder, bipolar type",Mental health,,
F302,"Manic episode, severe with psychotic symptoms",Mental health,,
F310,"Bipolar disorder, current episode hypomanic",Mental health,,
F320,"Major depressive disorder, single episode, mild",Mental health,,
F330,"Major depressive disorder, recurrent, mild",Mental health,,
F340,Cyclothymic disorder,Mental health,,
F408,Other phobic anxiety disorders,Mental health,,
F410,Panic disorder [episodic paroxysmal anxiety],Mental health,,
